 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/12/2022

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Pos","Games","Goals","Assists","Points","Per Game"
"","Michael McDougall","Green Bay","Sr.","F","16","0","1","0.000"
"","Raul Medina","Milwaukee","So.","D","14","0","1","0.000"
"","Jeremy Montero","USC Upstate","Jr.","F","13","0","1","0.000"
"","Segundo Navarro","Ga. Southern","Sr.","F","6","0","1","0.000"
"","Brandon Oddy","Wofford","Sr.","F","13","0","1","0.000"
"","David Okorie","Virginia","Fr.","F","7","0","1","0.000"
"","Bill Okumu","Ga. Southern","Fr.","M","12","0","1","0.000"
"","Mason Pahule","Colgate","So.","M","17","0","1","0.000"
"","Jameson Railey","Bucknell","Sr.","M","16","0","1","0.000"
"","Jamar Ricketts","CSUN","So.","F","19","0","1","0.000"
"","Louis Robinson","Lipscomb","Sr.","D","18","0","1","0.000"
"","Austin Rocke","Central Conn. St.","So.","M","11","0","1","0.000"
"","Max Rogers","Yale","Fr.","M","16","0","1","0.000"
"","Imanol Rosales","Washington","Jr.","M","20","0","1","0.000"
"","Robbie Ryerson","UMBC","Fr.","F","5","0","1","0.000"
"","Nick Scardina","Washington","Jr.","M","20","0","1","0.000"
"","Jannis Schmidt","Cleveland St.","Sr.","M","19","0","1","0.000"
"","Samuel Schwarz","Radford","Jr.","M","15","0","1","0.000"
"","Owen Smith","Oakland","Jr.","M","18","0","1","0.000"
"","Matthias Stingl","UMass Lowell","Sr.","M","11","0","1","0.000"
"","Tim Ströbeck","Clemson","So.","F","20","0","1","0.000"
"","Orri Thorhallsson","Delaware","So.","M","16","0","1","0.000"
"","Luto Tom","North Florida","Sr.","M","14","0","1","0.000"
"","Fallou Tounkara","FDU","Sr.","M","19","0","1","0.000"
"","Johan Velez","Manhattan","Sr.","F","16","0","1","0.000"
"","Michael Vogel","UNLV","Jr.","M","12","0","1","0.000"
"","Jake Williams","Holy Cross","So.","M","15","0","1","0.000"
Reclassifying
"NR","Alessandro Allen","UC San Diego","Sr.","M","16","1","1","1.000"
"NR","Nick Cirrito","UC San Diego","Sr.","F","18","1","1","1.000"
"NR","Johan Feilscher","Merrimack","Sr.","F","17","1","1","1.000"
"NR","Carter Jacobus","UC San Diego","So.","M","18","1","1","1.000"
"NR","Taylor  Rogers","Utah Tech","Fr.","F","18","1","1","1.000"
"NR","Brian Winkler","Southern Ind.","Jr.","M","11","1","1","1.000"
"NR","Felipe Mendonca","Queens (NC)","Sr.","F","13","3","4","0.750"
"NR","Oliver Bieleveldt","St. Thomas (MN)","Fr.","M","16","2","3","0.667"
"NR","Nolan McGrath","Bellarmine","Jr.","F","18","2","3","0.667"
"NR","Anis Smajlovic","Lindenwood","Fr.","F","15","2","3","0.667"
"NR","Cooper Forcellini","Bellarmine","Fr.","M","18","0","1","0.000"
"NR","Ryan Nevins","Southern Ind.","Sr.","M","14","0","1","0.000"
"NR","Feho Sabotic","Lindenwood","So.","F","14","0","1","0.000"

NCAA Men's Soccer
Division IGoals Per Game
Through Games 12/12/2022


"Rank","Name","Team","Cl","Pos","Games","Goals","Per Game"
"1","Duncan McGuire","Creighton","Jr.","F","24","23","0.96"
"2","Lucca Dourado","UCF","Jr.","F","13","11","0.85"
"3","Eliot Goldthorp","Hofstra","So.","M","21","17","0.81"
"4","Emil Jaaskelainen","LIU","Jr.","F","15","12","0.80"
"5","Shaun Joash","Grand Canyon","Sr.","F","16","12","0.75"
"","Stefan Sigurdarson","Boston College","Sr.","F","16","12","0.75"
"7","Ryan Becher","UMBC","Sr.","M","18","13","0.72"
"8","Knut Ahlander","SMU","Sr.","M","17","12","0.71"
"9","David Bercedo","Quinnipiac","Sr.","F","21","14","0.67"
"","Gage Guerra","Army West Point","So.","F","15","10","0.67"
"","Alex Meinhard","Tulsa","Jr.","F","15","10","0.67"
"12","Finn Ballard McBride","UC Santa Barbara","Sr.","F","20","13","0.65"
"13","Taylor Calheira","UMBC","Jr.","F","17","11","0.65"
"","Jelldrik Dallmann","Lipscomb","Sr.","F","17","11","0.65"
"","Thaddaeus Dewing","Air Force","Jr.","F","17","11","0.65"
"","Kieran Richards","ETSU","Sr.","M","17","11","0.65"
"17","Alvaro Garcia-Pascual","Coastal Carolina","So.","F","16","10","0.63"
"18","MD Myers","Rutgers","Sr.","F","21","13","0.62"
"19","Stas Korzeniowski","Penn","So.","F","18","11","0.61"
"","Ben Stitz","Penn","Sr.","M","18","11","0.61"
"21","Alec Hughes","Massachusetts","Jr.","F","17","10","0.59"
"22","Ilijah Paul","Washington","So.","F","19","11","0.58"
"23","Brandon Cambridge","Portland","So.","M","21","12","0.57"
"24","Kameron Lacey","Charlotte","Sr.","F","16","9","0.56"
"","Nikolai Rojel","Wofford","Fr.","F","16","9","0.56"
"26","Liam Butts","Penn St.","Sr.","F","13","7","0.54"
"27","Paolo Carroll","Yale","Sr.","F","15","8","0.53"
"","AJ Franklin","Drake","Jr.","F","15","8","0.53"
"29","Felipe D'Agostini","Oral Roberts","So.","M","17","9","0.53"
"","Denis Krioutchenkov","Davidson","Fr.","F","17","9","0.53"
"","Alex Nagy","Vermont","Sr.","M","17","9","0.53"
"32","Stephen Afrifa","FIU","Sr.","F","19","10","0.53"
"","Palmer Ault","Butler","Fr.","F","19","10","0.53"
"","Matthew Bell","Marshall","Fr.","F","19","10","0.53"
"","Eythor Bjorgolfsson","Kentucky","Sr.","F","19","10","0.53"
"","Shakur Mohammed","Duke","So.","M","19","10","0.53"
"37","Casper Grening","Kentucky","So.","M","21","11","0.52"
"","Noah Holmes","High Point","Sr.","F","21","11","0.52"
"","Valentin Noel","Pittsburgh","Sr.","M","21","11","0.52"
"","Charlie Sharp","Western Mich.","Sr.","M","21","11","0.52"
"41","Patrick Agyemang","Rhode Island","Sr.","F","14","7","0.50"
"","Rodrigo Almeida","Niagara","Sr.","F","20","10","0.50"
"","Sebastian Andreassen","Central Ark.","Sr.","F","16","8","0.50"
"","Ismail El Harchi","UNC Greensboro","Sr.","F","20","10","0.50"
"","Chris Elliott","Col. of Charleston","Fr.","F","16","8","0.50"
"","Bryant Farkarlun","Houston Christian","Sr.","F","18","9","0.50"
"","Bojan Kolevski","Cleveland St.","Jr.","F","20","10","0.50"
"","Peter Mangione","Penn St.","Jr.","F","16","8","0.50"
"","Lucas Meek","Washington","Sr.","M","20","10","0.50"
"","Nicolo Mulatero","Missouri St.","Sr.","F","18","9","0.50"
"","Max Murray","Vermont","Jr.","F","20","10","0.50"
"","Jose Ortiz","SMU","Jr.","F","14","7","0.50"
"","Jack Sarkos","Lehigh","Sr.","F","16","8","0.50"
"","Jason Shokalook","Akron","So.","F","18","9","0.50"
"","Joshua Torres","UIC","So.","-","16","8","0.50"
"","Owen Zaldivar","Gardner-Webb","Sr.","F","14","7","0.50"
"57","Ryan Carmichael","Hofstra","Jr.","F","21","10","0.48"
"","Tomas Svecula","Quinnipiac","Sr.","F","21","10","0.48"
"59","Nacho Diaz Barragan","Evansville","So.","F","19","9","0.47"
"","Josemir Gomez","IUPUI","Fr.","F","19","9","0.47"
"61","Sam Donnellan","Delaware","Fr.","F","17","8","0.47"
"","Jalen James","Campbell","Sr.","F","17","8","0.47"
"","Thomas Storødegård","Siena","So.","F","17","8","0.47"
"","Milo Yosef","Marshall","Sr.","F","17","8","0.47"
"65","Davi Alves","FGCU","Sr.","M","15","7","0.47"
"","Fahmi Ibrahim","California","Sr.","F","15","7","0.47"
"","Ben Zakowski","Monmouth","Sr.","F","15","7","0.47"
"68","Camil Azzam Ruiz","Iona","Sr.","F","13","6","0.46"
"69","Jackson Castro","Creighton","So.","M","22","10","0.45"
"70","Eli Goldman","New Hampshire","Jr.","M","20","9","0.45"
"","Pablo Kawecki","Cleveland St.","Sr.","M","20","9","0.45"
"72","Alberto Cruz","Memphis","Fr.","F","18","8","0.44"
"","Marcos Kitromilides","Lafayette","Sr.","F","18","8","0.44"
"74","Levonte Johnson","Syracuse","Sr.","F","25","11","0.44"
"","Nathan Opoku","Syracuse","So.","F","25","11","0.44"
"76","Ryan Clare","Princeton","Sr.","D","16","7","0.44"
"","Logan Farrington","Milwaukee","So.","F","16","7","0.44"
"","Chase Gilley","Robert Morris","Jr.","F","16","7","0.44"
"","Jamin Gogo Peters","Brown","Fr.","F","16","7","0.44"
"","Oscar Haynes Brown","George Washington","Sr.","F","16","7","0.44"
"","Max Keenan","Wisconsin","Jr.","M","16","7","0.44"
"","Fredrik Skilberg","SMU","Fr.","F","16","7","0.44"
"","Max Wilkins","Georgia St.","Sr.","F","16","7","0.44"
"84","David Alino","Dartmouth","Sr.","F","14","6","0.43"
"","Matthew Wrobel","St. Bonaventure","So.","-","14","6","0.43"
"86","Sebastian Cruz","Cal St. Fullerton","Jr.","M","19","8","0.42"
"","Ask Ekeland","Duquesne","Fr.","M","19","8","0.42"
"","Bertin Jacquesson","Pittsburgh","Jr.","F","19","8","0.42"
"","Brandon Morales","Cornell","Sr.","M","19","8","0.42"
"","Hayes Wood","Lipscomb","Sr.","F","19","8","0.42"
"","Shane de Flores","Stanford","So.","M","19","8","0.42"
"92","Ryan Wittenbrink","Indiana","Sr.","F","24","10","0.42"
"93","Forster Ajago","Dayton","Sr.","F","17","7","0.41"
"","Max Hamelink","San Francisco","Jr.","M","17","7","0.41"
"","Malachi Jones","Lipscomb","Fr.","F","17","7","0.41"
"","Conor Kelly","NC State","Sr.","M","17","7","0.41"
"","Antek Sienkiel","St. John's (NY)","Sr.","M","17","7","0.41"
"98","Jacob Babalai","Portland","So.","F","20","8","0.40"
"","Bryson Baker","Howard","So.","F","15","6","0.40"
"","Jonas Bickus","Stony Brook","So.","F","15","6","0.40"
"","Luke Eberle","Liberty","So.","M","15","6","0.40"
"","Lukas Hackaa","IUPUI","Jr.","M","20","8","0.40"
"","Jared Juleau","Marist","Jr.","M","15","6","0.40"
"","Andres Mata","Stetson","Fr.","M","15","6","0.40"
"","Marko Mitrevski","Liberty","Sr.","M","15","6","0.40"
"","Mathis Pilon St-Louis","Omaha","Fr.","F","15","6","0.40"
"","Kome Ubogu","Virginia","So.","F","15","6","0.40"
"108","Dyson Clapier","Akron","So.","M","18","7","0.39"
"","Adam Davie","LMU (CA)","Sr.","F","18","7","0.39"
"","Mason Duval","Elon","Sr.","F","18","7","0.39"
"","CJ Fodrey","San Diego St.","Fr.","F","18","7","0.39"
"","Billy Hency","Loyola Chicago","Sr.","M","18","7","0.39"
"","Quenzi Huerman","Seton Hall","Jr.","M","18","7","0.39"
"","Michael Ille","Mercer","Sr.","F","18","7","0.39"
"","Lukas Sunesson","Marquette","Sr.","F","18","7","0.39"
"116","Marco Afonso","UNC Greensboro","Sr.","F","21","8","0.38"
"","Luis Mueller","California Baptist","Jr.","F","21","8","0.38"
"","Daniel Nimick","Western Mich.","Sr.","D","21","8","0.38"
"119","Joey Akpunonu","Bowling Green","Jr.","D","16","6","0.38"
"","Walker Gillespie","Princeton","Jr.","F","16","6","0.38"
"","Ale Gutierrez","Harvard","Jr.","F","16","6","0.38"
"","Malik Henry-Scott","Tulsa","Jr.","F","16","6","0.38"
"","Timo Hummrich","Fordham","Sr.","D","16","6","0.38"
"","Filip Jauk","Charlotte","So.","F","16","6","0.38"
"","Kazuki Kimura","Kansas City","Sr.","M","16","6","0.38"
"","Luis Lara","Stetson","So.","F","16","6","0.38"
"","Kenji Mboma Dem","Omaha","Jr.","F","16","6","0.38"
"","Sam Pitts-Eckersall","UNC Asheville","Fr.","M","16","6","0.38"
"","Sam Robinson","Northern Ky.","Sr.","F","16","6","0.38"
"","Michele Signorelli","St. Francis Brooklyn","Jr.","F","16","6","0.38"
"131","Leo Afonso","Virginia","Jr.","F","19","7","0.37"
"","Simon Carlson","Georgia St.","Jr.","M","19","7","0.37"
"","DJ Hooks","Butler","Jr.","D","19","7","0.37"
"","Beau Leroux","San Jose St.","So.","M","19","7","0.37"
"","Elias Norris","George Washington","Sr.","M","19","7","0.37"
"","Jack Panayotou","Georgetown","Fr.","M","19","7","0.37"
"","Albert Portas","Cleveland St.","Jr.","M","19","7","0.37"
"","Joao Souza","Marshall","Sr.","M","19","7","0.37"
"139","Lewis Green","Missouri St.","Sr.","D","14","5","0.36"
"","Borna Miklic","UMass Lowell","Sr.","F","14","5","0.36"
"","Gio Rodriguez","Stetson","Jr.","M","14","5","0.36"
"","Sam Thornton","Drake","Sr.","F","14","5","0.36"
"","Alex Willis","Charlotte","Sr.","F","14","5","0.36"
"144","Shane Anderson","Oral Roberts","Jr.","M","17","6","0.35"
"","Omari Cotterell","La Salle","Sr.","F","17","6","0.35"
"","Manny Day","Dayton","Sr.","F","17","6","0.35"
"","Oscar Dueso","Loyola Chicago","Sr.","M","17","6","0.35"
"","Malcolm Johnston","Maryland","Sr.","M","17","6","0.35"
"","Aedon Kyra","FGCU","Sr.","F","17","6","0.35"
"","Emil Lindgren Pedersen","Milwaukee","Fr.","F","17","6","0.35"
"","Hale Lombard","Lafayette","Jr.","F","17","6","0.35"
"","Oscar Resano","South Fla.","Jr.","F","17","6","0.35"
"","Daniel Russo","Notre Dame","Jr.","F","17","6","0.35"
"","Danail Sergiev","Chicago St.","Fr.","F","17","6","0.35"
"","Martin Vician","Harvard","Sr.","F","17","6","0.35"
"","Jackson Wrobel","Wofford","So.","M","17","6","0.35"
Reclassifying
"NR","Juri  Schlingmann","Merrimack","Sr.","F","17","10","0.59"
"NR","Felipe Mendonca","Queens (NC)","Sr.","F","13","7","0.54"
"NR","Johan Feilscher","Merrimack","Sr.","F","17","7","0.41"
"NR","Jacob Woznicki","Stonehill","Jr.","F","17","7","0.41"

NCAA Men's Soccer
Division ITotal Goals
Through Games 12/12/2022


"Rank","Name","Team","Cl","Pos","Games","Goals"
"1","Duncan McGuire","Creighton","Jr.","F","24","23"
"2","Eliot Goldthorp","Hofstra","So.","M","21","17"
"3","David Bercedo","Quinnipiac","Sr.","F","21","14"
"4","Finn Ballard McBride","UC Santa Barbara","Sr.","F","20","13"
"","Ryan Becher","UMBC","Sr.","M","18","13"
"","MD Myers","Rutgers","Sr.","F","21","13"
"7","Knut Ahlander","SMU","Sr.","M","17","12"
"","Brandon Cambridge","Portland","So.","M","21","12"
"","Emil Jaaskelainen","LIU","Jr.","F","15","12"
"","Shaun Joash","Grand Canyon","Sr.","F","16","12"
"","Stefan Sigurdarson","Boston College","Sr.","F","16","12"
"12","Taylor Calheira","UMBC","Jr.","F","17","11"
"","Jelldrik Dallmann","Lipscomb","Sr.","F","17","11"
"","Thaddaeus Dewing","Air Force","Jr.","F","17","11"
"","Lucca Dourado","UCF","Jr.","F","13","11"
"","Casper Grening","Kentucky","So.","M","21","11"
"","Noah Holmes","High Point","Sr.","F","21","11"
"","Levonte Johnson","Syracuse","Sr.","F","25","11"
"","Stas Korzeniowski","Penn","So.","F","18","11"
"","Valentin Noel","Pittsburgh","Sr.","M","21","11"
"","Nathan Opoku","Syracuse","So.","F","25","11"
"","Ilijah Paul","Washington","So.","F","19","11"
"","Kieran Richards","ETSU","Sr.","M","17","11"
"","Charlie Sharp","Western Mich.","Sr.","M","21","11"
"","Ben Stitz","Penn","Sr.","M","18","11"
"26","Stephen Afrifa","FIU","Sr.","F","19","10"
"","Rodrigo Almeida","Niagara","Sr.","F","20","10"
"","Palmer Ault","Butler","Fr.","F","19","10"
"","Matthew Bell","Marshall","Fr.","F","19","10"
"","Eythor Bjorgolfsson","Kentucky","Sr.","F","19","10"
"","Ryan Carmichael","Hofstra","Jr.","F","21","10"
"","Jackson Castro","Creighton","So.","M","22","10"
"","Ismail El Harchi","UNC Greensboro","Sr.","F","20","10"
"","Alvaro Garcia-Pascual","Coastal Carolina","So.","F","16","10"
"","Gage Guerra","Army West Point","So.","F","15","10"
"","Alec Hughes","Massachusetts","Jr.","F","17","10"
"","Bojan Kolevski","Cleveland St.","Jr.","F","20","10"
"","Lucas Meek","Washington","Sr.","M","20","10"
"","Alex Meinhard","Tulsa","Jr.","F","15","10"
"","Shakur Mohammed","Duke","So.","M","19","10"
"","Max Murray","Vermont","Jr.","F","20","10"
"","Tomas Svecula","Quinnipiac","Sr.","F","21","10"
"","Ryan Wittenbrink","Indiana","Sr.","F","24","10"
"44","Kemy Amiche","Campbell","So.","F","13","9"
"","Felipe D'Agostini","Oral Roberts","So.","M","17","9"
"","Nacho Diaz Barragan","Evansville","So.","F","19","9"
"","Bryant Farkarlun","Houston Christian","Sr.","F","18","9"
"","Eli Goldman","New Hampshire","Jr.","M","20","9"
"","Josemir Gomez","IUPUI","Fr.","F","19","9"
"","Pablo Kawecki","Cleveland St.","Sr.","M","20","9"
"","Denis Krioutchenkov","Davidson","Fr.","F","17","9"
"","Kameron Lacey","Charlotte","Sr.","F","16","9"
"","Nicolo Mulatero","Missouri St.","Sr.","F","18","9"
"","Alex Nagy","Vermont","Sr.","M","17","9"
"","Nikolai Rojel","Wofford","Fr.","F","16","9"
"","Jason Shokalook","Akron","So.","F","18","9"
"57","Marco Afonso","UNC Greensboro","Sr.","F","21","8"
"","Sebastian Andreassen","Central Ark.","Sr.","F","16","8"
"","Jacob Babalai","Portland","So.","F","20","8"
"","Paolo Carroll","Yale","Sr.","F","15","8"
"","Sebastian Cruz","Cal St. Fullerton","Jr.","M","19","8"
"","Alberto Cruz","Memphis","Fr.","F","18","8"
"","Sam Donnellan","Delaware","Fr.","F","17","8"
"","Ask Ekeland","Duquesne","Fr.","M","19","8"
"","Chris Elliott","Col. of Charleston","Fr.","F","16","8"
"","AJ Franklin","Drake","Jr.","F","15","8"
"","Lukas Hackaa","IUPUI","Jr.","M","20","8"
"","Bertin Jacquesson","Pittsburgh","Jr.","F","19","8"
"","Jalen James","Campbell","Sr.","F","17","8"
"","Marcos Kitromilides","Lafayette","Sr.","F","18","8"
"","Peter Mangione","Penn St.","Jr.","F","16","8"
"","Brandon Morales","Cornell","Sr.","M","19","8"
"","Luis Mueller","California Baptist","Jr.","F","21","8"
"","Daniel Nimick","Western Mich.","Sr.","D","21","8"
"","Owen O'Malley","Creighton","Jr.","M","23","8"
"","Jack Sarkos","Lehigh","Sr.","F","16","8"
"","Thomas Storødegård","Siena","So.","F","17","8"
"","Joshua Torres","UIC","So.","-","16","8"
"","Hayes Wood","Lipscomb","Sr.","F","19","8"
"","Milo Yosef","Marshall","Sr.","F","17","8"
"","Shane de Flores","Stanford","So.","M","19","8"
"82","Leo Afonso","Virginia","Jr.","F","19","7"
"","Patrick Agyemang","Rhode Island","Sr.","F","14","7"
"","Forster Ajago","Dayton","Sr.","F","17","7"
"","Davi Alves","FGCU","Sr.","M","15","7"
"","Sam Bassett","Denver","So.","M","22","7"
"","Liam Butts","Penn St.","Sr.","F","13","7"
"","Simon Carlson","Georgia St.","Jr.","M","19","7"
"","Dyson Clapier","Akron","So.","M","18","7"
"","Ryan Clare","Princeton","Sr.","D","16","7"
"","Brendan Clark","UC Riverside","Sr.","D","20","7"
"","Adam Davie","LMU (CA)","Sr.","F","18","7"
"","Mason Duval","Elon","Sr.","F","18","7"
"","Logan Farrington","Milwaukee","So.","F","16","7"
"","CJ Fodrey","San Diego St.","Fr.","F","18","7"
"","Chase Gilley","Robert Morris","Jr.","F","16","7"
"","Jamin Gogo Peters","Brown","Fr.","F","16","7"
"","Max Hamelink","San Francisco","Jr.","M","17","7"
"","Oscar Haynes Brown","George Washington","Sr.","F","16","7"
"","Billy Hency","Loyola Chicago","Sr.","M","18","7"
"","DJ Hooks","Butler","Jr.","D","19","7"
"","Quenzi Huerman","Seton Hall","Jr.","M","18","7"
"","Fahmi Ibrahim","California","Sr.","F","15","7"
"","Bryan Iliohan","California Baptist","Sr.","F","21","7"
"","Michael Ille","Mercer","Sr.","F","18","7"
"","Malachi Jones","Lipscomb","Fr.","F","17","7"
"","Max Keenan","Wisconsin","Jr.","M","16","7"
"","Conor Kelly","NC State","Sr.","M","17","7"
"","John Klein","Saint Louis","Sr.","M","20","7"
"","Beau Leroux","San Jose St.","So.","M","19","7"
"","Enzo Mauriz","Kentucky","Jr.","M","21","7"
"","Tommy Mihalic","Indiana","So.","F","24","7"
"","Roald Mitchell","Wake Forest","So.","M","20","7"
"","Jacob Murrell","Georgetown","Fr.","F","21","7"
"","Elias Norris","George Washington","Sr.","M","19","7"
"","Jose Ortiz","SMU","Jr.","F","14","7"
"","Jack Panayotou","Georgetown","Fr.","M","19","7"
"","Albert Portas","Cleveland St.","Jr.","M","19","7"
"","Nick Scardina","Washington","Jr.","M","20","7"
"","Antek Sienkiel","St. John's (NY)","Sr.","M","17","7"
"","Fredrik Skilberg","SMU","Fr.","F","16","7"
"","Joao Souza","Marshall","Sr.","M","19","7"
"","Lukas Sunesson","Marquette","Sr.","F","18","7"
"","Oliver Svalander","Hofstra","Jr.","F","21","7"
"","CJ Tibbling","Portland","Sr.","F","21","7"
"","Max Wilkins","Georgia St.","Sr.","F","16","7"
"","Ben Zakowski","Monmouth","Sr.","F","15","7"
"","Owen Zaldivar","Gardner-Webb","Sr.","F","14","7"
"129","Khaled Abdella","St. Francis Brooklyn","Sr.","F","18","6"
"","Joey Akpunonu","Bowling Green","Jr.","D","16","6"
"","David Alino","Dartmouth","Sr.","F","14","6"
"","Shane Anderson","Oral Roberts","Jr.","M","17","6"
"","Cameron Arnold","James Madison","Fr.","F","20","6"
"","Camil Azzam Ruiz","Iona","Sr.","F","13","6"
"","Bryson Baker","Howard","So.","F","15","6"
"","Jonas Bickus","Stony Brook","So.","F","15","6"
"","Nigel Buckley","La Salle","Sr.","F","18","6"
"","Wilmer Cabrera","Butler","Sr.","F","18","6"
"","Aboubacar Camara","Louisville","Jr.","F","18","6"
"","Cam Cilley","Stanford","Sr.","M","20","6"
"","Stefan Copetti","Maryland","Jr.","F","20","6"
"","CJ Coppola","Saint Louis","Fr.","F","20","6"
"","Omari Cotterell","La Salle","Sr.","F","17","6"
"","Ben Damge","Kentucky","Jr.","F","19","6"
"","Manny Day","Dayton","Sr.","F","17","6"
"","Bernardo Dos Santos Monteiro","FIU","So.","F","20","6"
"","Oscar Dueso","Loyola Chicago","Sr.","M","17","6"
"","Luke Eberle","Liberty","So.","M","15","6"
"","Logan Finnegan","IUPUI","Jr.","F","18","6"
"","Dylan Gaither","Mercer","Sr.","M","19","6"
"","Walker Gillespie","Princeton","Jr.","F","16","6"
"","Ale Gutierrez","Harvard","Jr.","F","16","6"
"","Henry Hamilton","Manhattan","So.","F","19","6"
"","Malik Henry-Scott","Tulsa","Jr.","F","16","6"
"","Michael Hewes","Penn","Jr.","M","18","6"
"","Philip Horton","Virginia","Jr.","F","19","6"
"","Timo Hummrich","Fordham","Sr.","D","16","6"
"","David Jackson","Navy","Jr.","M","19","6"
"","Filip Jauk","Charlotte","So.","F","16","6"
"","Malcolm Johnston","Maryland","Sr.","M","17","6"
"","Jared Juleau","Marist","Jr.","M","15","6"
"","Kisa Kiingi","Cornell","Jr.","D","19","6"
"","Kazuki Kimura","Kansas City","Sr.","M","16","6"
"","Aedon Kyra","FGCU","Sr.","F","17","6"
"","Luis Lara","Stetson","So.","F","16","6"
"","Alexander Levengood","William & Mary","Sr.","M","18","6"
"","Emil Lindgren Pedersen","Milwaukee","Fr.","F","17","6"
"","Hale Lombard","Lafayette","Jr.","F","17","6"
"","Noah Lopez","UC Riverside","So.","F","20","6"
"","Andres Mata","Stetson","Fr.","M","15","6"
"","Kenji Mboma Dem","Omaha","Jr.","F","16","6"
"","Sam McCann","Quinnipiac","So.","F","18","6"
"","Marko Mitrevski","Liberty","Sr.","M","15","6"
"","Holger Olsson","Denver","Fr.","M","19","6"
"","Mathis Pilon St-Louis","Omaha","Fr.","F","15","6"
"","Sam Pitts-Eckersall","UNC Asheville","Fr.","M","16","6"
"","Oscar Resano","South Fla.","Jr.","F","17","6"
"","Sam Robinson","Northern Ky.","Sr.","F","16","6"
"","Lineker Rodrigues dos Santos","Memphis","So.","F","18","6"
"","Daniel Russo","Notre Dame","Jr.","F","17","6"
"","Gurman Sangha","Portland","Sr.","M","21","6"
"","Jannis Schmidt","Cleveland St.","Sr.","M","19","6"
"","Oscar Sears","Wake Forest","Jr.","M","19","6"
"","Danail Sergiev","Chicago St.","Fr.","F","17","6"
"","Michele Signorelli","St. Francis Brooklyn","Jr.","F","16","6"
"","Dylan Sing","Western Mich.","Sr.","M","21","6"
"","Jack Streberger","Butler","Sr.","M","19","6"
"","Alberto Suarez","Saint Louis","Sr.","D","20","6"
"","Jackson Temple","Rutgers","Sr.","M","21","6"
"","Mason Tunbridge","San Diego","Sr.","M","19","6"
"","Kome Ubogu","Virginia","So.","F","15","6"
"","Martin Vician","Harvard","Sr.","F","17","6"
"","Matthew Wrobel","St. Bonaventure","So.","-","14","6"
"","Jackson Wrobel","Wofford","So.","M","17","6"
"","Nick Zielonka","Massachusetts","Jr.","F","18","6"
Reclassifying
"NR","Juri  Schlingmann","Merrimack","Sr.","F","17","10"
"NR","Johan Feilscher","Merrimack","Sr.","F","17","7"
"NR","Felipe Mendonca","Queens (NC)","Sr.","F","13","7"
"NR","Jacob Woznicki","Stonehill","Jr.","F","17","7"

NCAA Men's Soccer
Division IAssists Per Game
Through Games 12/12/2022


"Rank","Name","Team","Cl","Pos","Games","Assists","Per Game"
"1","Nick Gutmann","Kentucky","Sr.","M","21","19","0.90"
"2","Tom Cooklin","George Washington","Sr.","F","17","13","0.76"
"3","Willem Ebbinge","Harvard","Jr.","M","16","11","0.69"
"4","JC Ngando","UNC Greensboro","So.","M","21","14","0.67"
"5","Alexander Petraeus","SMU","Fr.","F","16","10","0.63"
"6","Alexander Stjernegaard","Quinnipiac","Fr.","D","21","13","0.62"
"7","Filip Mirkovic","Pittsburgh","Jr.","M","20","12","0.60"
"8","Giorgio Probo","Creighton","So.","M","24","14","0.58"
"9","Balthi Saunders","Villanova","So.","F","16","9","0.56"
"","Cooper Warren","Army West Point","Jr.","M","16","9","0.56"
"11","Ryan Becher","UMBC","Sr.","M","18","10","0.56"
"12","Shane Anderson","Oral Roberts","Jr.","M","17","9","0.53"
"","Gabe Anguil","Milwaukee","So.","M","17","9","0.53"
"","Alex Nagy","Vermont","Sr.","M","17","9","0.53"
"15","Dylan Gaither","Mercer","Sr.","M","19","10","0.53"
"","Noah Gulden","Lipscomb","Sr.","D","19","10","0.53"
"","Chris Meyers","Washington","So.","F","19","10","0.53"
"18","Eric Conerty","Western Mich.","Sr.","F","21","11","0.52"
"19","Charles Ahl","Stetson","So.","M","16","8","0.50"
"","Koby Carr","Charlotte","Sr.","M","14","7","0.50"
"","Sergi Martinez","Bowling Green","Sr.","F","16","8","0.50"
"","Kenji Mboma Dem","Omaha","Jr.","F","16","8","0.50"
"","Imanol Rosales","Washington","Jr.","M","20","10","0.50"
"","Gino Vivi","UCF","Sr.","F","10","5","0.50"
"25","Sebastian Nava","Portland","So.","M","21","10","0.48"
"26","Carlo Agostinelli","Stanford","Jr.","F","19","9","0.47"
"","Adam Aoumaich","Marshall","Jr.","F","19","9","0.47"
"28","Jacob Angeletti","Air Force","Sr.","M","17","8","0.47"
"","Alessandro Arlotti","Harvard","So.","F","17","8","0.47"
"","Malcolm Johnston","Maryland","Sr.","M","17","8","0.47"
"","Jesus Salazar","Mount St. Mary's","Jr.","M","17","8","0.47"
"","Nathan Simeon","San Francisco","Sr.","D","17","8","0.47"
"","Reiss Skeen","Saint Peter's","Fr.","M","17","8","0.47"
"34","Brad Dildy","Charlotte","Fr.","M","15","7","0.47"
"","Moussa Sabaly","Jacksonville","Jr.","M","15","7","0.47"
"","Christian Sjølander","Northern Ky.","Fr.","M","15","7","0.47"
"37","Lukas Hackaa","IUPUI","Jr.","M","20","9","0.45"
"","Stephen Hasse","Niagara","Sr.","M","20","9","0.45"
